"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/04/2021","266","284","284","266","16,80K","-6,34%"
"31/03/2021","284","304","304","284","4,70K","-6,58%"
"30/03/2021","304","350","406","304","822,90K","-6,75%"
"29/03/2021","326","286","326","286","351,90K","24,43%"
"26/03/2021","262","200","262","200","455,00K","34,36%"
"25/03/2021","195","200","238","186","88,90K","-2,50%"
"24/03/2021","200","200","266","200","118,30K","-6,54%"
"23/03/2021","214","220","220","214","5,00K","-6,96%"
"22/03/2021","230","244","246","230","10,80K","-6,50%"
"19/03/2021","246","248","248","246","1,20K","-0,81%"
"18/03/2021","248","266","266","248","26,20K","-6,06%"
"17/03/2021","264","280","326","262","1,21M","0,76%"
"16/03/2021","262","196","262","196","322,20K","24,76%"
"15/03/2021","210","210","210","210","1,80K","-6,25%"
"12/03/2021","224","240","274","224","50,90K","-6,67%"
"10/03/2021","240","180","240","167","1,10M","34,08%"
"09/03/2021","179","160","204","160","169,80K","9,15%"
"08/03/2021","164","171","191","164","125,30K","-4,09%"
"05/03/2021","171","160","172","160","1,90K","3,01%"
"04/03/2021","166","163","166","163","1,80K","3,11%"
"02/03/2021","161","161","161","161","0,10K","-1,23%"
"01/03/2021","163","162","163","162","0,60K","1,24%"
"26/02/2021","161","161","161","161","0,10K","0,00%"
"25/02/2021","161","163","163","161","10,50K","-1,23%"
"24/02/2021","163","165","171","161","90,60K","-1,81%"
"23/02/2021","166","166","180","166","135,60K","-2,35%"
"22/02/2021","170","169","232","166","137,80K","-4,49%"
"19/02/2021","178","163","178","162","123,10K","2,30%"
"18/02/2021","174","191","191","173","20,10K","-5,95%"
"17/02/2021","185","181","191","181","19,20K","-4,64%"
"16/02/2021","194","210","260","194","312,30K","-6,73%"
"15/02/2021","208","157","210","156","144,00K","33,33%"
"11/02/2021","156","155","156","155","0,80K","4,00%"
"09/02/2021","150","150","150","150","0,10K","-0,66%"
"08/02/2021","151","151","151","151","0,80K","-3,21%"
"05/02/2021","156","156","156","156","5,40K","0,00%"
"04/02/2021","156","159","159","156","5,10K","-3,11%"
"03/02/2021","161","161","161","161","0,10K","3,21%"
"02/02/2021","156","156","156","156","4,10K","-1,27%"
"01/02/2021","158","159","159","158","0,50K","2,60%"
"29/01/2021","154","154","154","154","2,90K","0,00%"
"28/01/2021","154","160","160","154","2,70K","-3,75%"
"27/01/2021","160","153","161","153","0,50K","0,00%"
"26/01/2021","160","173","179","160","4,60K","-1,84%"
"25/01/2021","163","175","175","159","1,90K","-1,21%"
"22/01/2021","165","179","179","165","1,80K","-2,37%"
"21/01/2021","169","164","180","157","15,20K","6,96%"
"20/01/2021","158","164","164","155","34,40K","-3,66%"
"19/01/2021","164","169","169","162","0,60K","3,14%"
"18/01/2021","159","155","159","151","2,70K","-1,85%"
"14/01/2021","162","171","171","152","3,40K","0,62%"
"12/01/2021","161","171","171","161","1,10K","0,00%"
"11/01/2021","161","160","162","160","1,00K","0,63%"
"08/01/2021","160","172","172","155","10,40K","-1,23%"
"07/01/2021","162","170","170","152","0,60K","-0,61%"
"06/01/2021","163","169","169","161","7,00K","2,52%"
"05/01/2021","159","167","167","156","1,60K","-4,79%"
"04/01/2021","167","170","170","165","3,30K","4,38%"
"30/12/2020","160","160","160","160","0,10K","-6,98%"
"29/12/2020","172","172","172","172","0,10K","0,00%"
"28/12/2020","172","172","172","172","0,10K","6,17%"
"23/12/2020","162","157","162","157","1,10K","3,18%"
"22/12/2020","157","169","179","157","1,30K","-1,26%"
"21/12/2020","159","155","159","155","0,50K","-3,64%"
"18/12/2020","165","165","165","165","0,10K","1,85%"
"17/12/2020","162","160","170","152","8,50K","7,28%"
"16/12/2020","151","151","151","151","2,50K","-5,63%"
"11/12/2020","160","160","160","159","11,00K","0,00%"
"10/12/2020","160","164","164","160","0,20K","3,90%"
"08/12/2020","154","155","155","154","0,30K","-5,52%"
"07/12/2020","163","163","163","163","0,10K","7,95%"
"04/12/2020","151","160","160","151","0,90K","-6,79%"
"02/12/2020","162","176","176","162","0,50K","-2,41%"
"30/11/2020","166","158","166","158","29,40K","-1,78%"
"27/11/2020","169","159","169","159","0,20K","6,96%"
"26/11/2020","158","162","162","158","0,20K","-3,07%"
"25/11/2020","163","179","179","158","0,30K","-3,55%"
